Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Unit
1	Spectrogram 1	1	26277.096740537	26277.096740537	45.4	45.4	B
2	Spectrogram 1	1	26482.907469981	26483.562918164	45.4	45.4	B
3	Spectrogram 1	1	25170.700212042	25170.700212042	44.2	44.2	B
4	Spectrogram 1	1	25649.177384153	25649.177384153	44.2	44.2	B
5	Spectrogram 1	1	26958.107399740	26958.107399740	45.4	45.4	B
6	Spectrogram 1	1	27120.003100927	27120.003100927	46.6	46.6	B
7	Spectrogram 1	2	27671.235019906	27671.235019906	44.2	44.2	B
8	Spectrogram 1	1	27819.366309251	27819.366309251	45.4	45.4	B
9	Spectrogram 1	1	28340.447611816	28340.447611816	44.2	44.2	B
10	Spectrogram 1	1	28460.394629294	28460.394629294	49.1	49.1	B
11	Spectrogram 1	1	28910.687529539	28910.687529539	46.6	46.6	B
12	Spectrogram 1	1	29824.382292248	29824.382292248	47.9	47.9	B
13	Spectrogram 1	1	30620.751831648	30620.751831648	46.6	46.6	B
14	Spectrogram 1	1	30798.378289226	30798.378289226	44.2	44.2	B
15	Spectrogram 1	1	30851.469590607	30851.469590607	45.4	45.4	B
16	Spectrogram 1	1	30905.216341608	30905.216341608	46.6	46.6	B
17	Spectrogram 1	1	30958.963092609	30958.963092609	46.6	46.6	B
18	Spectrogram 1	1	31013.365291794	31013.365291794	45.4	45.4	B
19	Spectrogram 1	1	31067.767490978	31067.767490978	46.6	46.6	B
20	Spectrogram 1	1	31121.514241979	31121.514241979	45.4	45.4	B
21	Spectrogram 1	1	31173.950096615	31173.950096615	47.9	47.9	B
22	Spectrogram 1	1	31324.703177254	31324.703177254	45.4	45.4	B
23	Spectrogram 1	1	31378.449928255	31378.449928255	45.4	45.4	B
24	Spectrogram 1	1	31432.196679257	31432.196679257	45.4	45.4	B
25	Spectrogram 1	1	31482.010741160	31482.010741160	45.4	45.4	B
26	Spectrogram 1	1	31535.757492162	31535.757492162	45.4	46.6	B
27	Spectrogram 1	1	31590.159689908	31590.159689908	45.4	45.4	B
28	Spectrogram 1	1	31643.250992726	31643.250992726	44.2	44.2	B
29	Spectrogram 1	1	31696.997743728	31696.997743728	44.2	44.2	B
30	Spectrogram 1	1	31834.641862146	31834.641862146	44.2	44.2	B
31	Spectrogram 1	1	31887.733164964	31887.733164964	46.6	46.6	B
32	Spectrogram 1	1	31942.790810894	31942.790810894	46.6	46.6	B
33	Spectrogram 1	1	31997.193010078	31997.193010078	46.6	46.6	B
34	Spectrogram 1	1	32051.595209262	32051.595209262	46.6	46.6	B
35	Spectrogram 1	1	32201.037394973	32201.037394973	45.4	45.4	B
36	Spectrogram 1	1	32255.439594158	32255.439594158	45.4	45.4	B
37	Spectrogram 1	1	32309.841791904	32309.841791904	45.4	45.4	B
38	Spectrogram 1	1	32362.933094722	32362.933094722	45.4	46.6	B
39	Spectrogram 1	1	32418.646190273	32418.646190273	44.2	44.2	B
40	Spectrogram 1	1	32471.737493091	32471.737493091	46.6	46.6	B
41	Spectrogram 1	1	32526.139692275	32526.139692275	45.4	45.4	B
42	Spectrogram 1	1	32581.852787826	32581.852787826	44.2	44.2	B
43	Spectrogram 1	1	32636.254985572	32636.254985572	44.2	44.2	B
44	Spectrogram 1	1	32768.655518526	32768.655518526	45.4	45.4	B
45	Spectrogram 1	1	32822.402269528	32822.402269528	45.4	45.4	B
46	Spectrogram 1	1	32876.804468712	32876.804468712	46.6	46.6	B
47	Spectrogram 1	1	32930.551219714	32930.551219714	47.9	47.9	B
48	Spectrogram 1	1	32984.297970715	32984.297970715	46.6	46.6	B
49	Spectrogram 1	1	33038.044720278	33038.044720278	46.6	46.6	B
50	Spectrogram 1	1	33092.446919463	33092.446919463	47.9	47.9	B
51	Spectrogram 1	1	33206.494903295	33206.494903295	45.4	45.4	B
52	Spectrogram 1	1	33260.897102479	33260.897102479	47.9	47.9	B
53	Spectrogram 1	1	33315.299301663	33315.299301663	45.4	45.4	B
54	Spectrogram 1	1	33369.701499410	33369.701499410	45.4	45.4	B
55	Spectrogram 1	1	33422.792802228	33422.792802228	46.6	46.6	B
56	Spectrogram 1	1	33532.908096963	33532.908096963	47.9	47.9	B
57	Spectrogram 1	1	33587.310296147	33587.310296147	45.4	45.4	B
58	Spectrogram 1	1	33642.367943514	33642.367943514	45.4	45.4	B
59	Spectrogram 1	1	33694.803798150	33694.803798150	46.6	46.6	B
60	Spectrogram 1	1	33749.205995896	33749.205995896	46.6	46.6	B
61	Spectrogram 1	1	33802.952746897	33802.952746897	47.9	47.9	B
62	Spectrogram 1	1	33857.354946082	33857.354946082	46.6	46.6	B
63	Spectrogram 1	1	33991.066375402	33991.066375402	46.6	46.6	B
64	Spectrogram 1	1	34045.468574587	34045.468574587	44.2	44.2	B
65	Spectrogram 1	1	34099.215324150	34099.215324150	49.1	49.1	B
66	Spectrogram 1	1	34152.962075151	34152.962075151	45.4	45.4	B
67	Spectrogram 1	1	34208.675170702	34208.675170702	42.9	42.9	B
68	Spectrogram 1	1	34261.766473520	34261.766473520	46.6	46.6	B
69	Spectrogram 1	1	34383.024387365	34383.024387365	46.6	46.6	B
70	Spectrogram 1	1	34437.426585111	34437.426585111	45.4	45.4	B
71	Spectrogram 1	1	34491.828784295	34491.828784295	45.4	45.4	B
72	Spectrogram 1	1	34548.197328028	34548.197328028	46.6	46.6	B
73	Spectrogram 1	1	34723.201992874	34723.201992874	45.4	45.4	B
74	Spectrogram 1	1	34776.293294255	34776.293294255	45.4	45.4	B
75	Spectrogram 1	1	34939.499891808	34939.499891808	46.6	46.6	B
76	Spectrogram 1	1	34993.902090992	34993.902090992	46.6	46.6	B
77	Spectrogram 1	1	35046.337945627	35046.337945627	46.6	46.6	B
78	Spectrogram 1	1	35098.773800263	35098.773800263	47.9	47.9	B
79	Spectrogram 1	1	35153.831446192	35153.831446192	45.4	45.4	B
80	Spectrogram 1	1	35206.922749011	35206.922749011	45.4	45.4	B
81	Spectrogram 1	1	35261.980396378	35261.980396378	45.4	45.4	B
82	Spectrogram 1	1	35380.616517491	35380.616517491	45.4	45.4	B
83	Spectrogram 1	1	35434.363268492	35434.363268492	45.4	45.4	B
84	Spectrogram 1	1	35488.765466238	35488.765466238	45.4	45.4	B
85	Spectrogram 1	1	35544.478561789	35544.478561789	45.4	45.4	B
86	Spectrogram 1	1	35596.914416424	35596.914416424	46.6	46.6	B
87	Spectrogram 1	1	35650.661167425	35650.661167425	46.6	46.6	B
88	Spectrogram 1	1	35706.374262976	35706.374262976	46.6	46.6	B
