Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Unit
89	Spectrogram 1	1	35760.121013977	35760.121013977	46.6	46.6	B
90	Spectrogram 1	1	35909.563198250	35909.563198250	44.2	44.2	B
91	Spectrogram 1	1	35963.965397434	35963.965397434	45.4	46.6	B
92	Spectrogram 1	1	36015.745803887	36015.745803887	45.4	45.4	B
93	Spectrogram 1	1	36071.458899437	36071.458899437	44.2	44.2	B
94	Spectrogram 1	1	36126.516546804	36126.516546804	46.6	46.6	B
95	Spectrogram 1	1	36180.918745989	36180.918745989	46.6	46.6	B
96	Spectrogram 1	1	36235.976391918	36235.976391918	44.2	44.2	B
97	Spectrogram 1	1	36289.723142919	36289.723142919	46.6	46.6	B
98	Spectrogram 1	1	36407.048367666	36407.048367666	45.4	45.4	B
99	Spectrogram 1	1	36461.450566851	36461.450566851	45.4	45.4	B
100	Spectrogram 1	1	36514.541869669	36514.541869669	46.6	46.6	B
101	Spectrogram 1	1	36569.599515598	36569.599515598	45.4	45.4	B
102	Spectrogram 1	1	36624.001714783	36624.001714783	44.2	44.2	B
103	Spectrogram 1	1	36679.714810333	36679.714810333	44.2	44.2	B
104	Spectrogram 1	1	36820.636169666	36820.636169666	47.9	47.9	B
105	Spectrogram 1	1	36874.382920667	36874.382920667	44.2	44.2	B
106	Spectrogram 1	1	36927.474222048	36927.474222048	45.4	45.4	B
107	Spectrogram 1	1	36981.876421232	36981.876421232	46.6	46.6	B
108	Spectrogram 1	1	37035.623172233	37035.623172233	46.6	46.6	B
109	Spectrogram 1	1	37088.714475052	37088.714475052	45.4	45.4	B
110	Spectrogram 1	1	37143.116674236	37143.116674236	46.6	46.6	B
111	Spectrogram 1	1	37198.174321603	37198.174321603	46.6	46.6	B
112	Spectrogram 1	1	48618.047965575	48618.047965575	44.2	44.2	B
113	Spectrogram 1	1	55652.973284349	55652.973284349	17.2	17.2	A
114	Spectrogram 1	1	55707.375483533	55707.375483533	34.4	34.4	B
115	Spectrogram 1	1	55799.138229145	55799.138229145	14.7	14.7	A
116	Spectrogram 1	1	55852.884980147	55852.884980147	45.4	45.4	B
