Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Unit
1	Spectrogram 1	1	4637.638672379	4653.851127375	72.9	87.6	A
2	Spectrogram 1	1	4669.187233453	4680.579769396	6.1	15.6	C
3	Spectrogram 1	1	4680.141594937	4692.848654258	12.1	59.9	B
4	Spectrogram 1	1	8634.666368813	8651.316998269	72.9	85.9	A
5	Spectrogram 1	1	8668.843976643	8679.798338127	6.1	13.9	C
6	Spectrogram 1	1	8679.360163668	8702.145235554	8.7	62.5	B
7	Spectrogram 1	1	8720.548562847	8731.064749872	4.3	16.5	C
8	Spectrogram 1	1	8731.502924331	8745.524507031	11.3	63.3	B
9	Spectrogram 1	1	8860.326215383	8878.729542676	12.1	88.5	A
10	Spectrogram 1	1	8896.256521050	8908.525405912	7.8	13.9	C
11	Spectrogram 1	1	8910.278103749	8923.861511989	8.7	62.5	B
12	Spectrogram 1	1	10434.687179020	10449.585110638	9.5	85.9	A
13	Spectrogram 1	1	10465.797565634	10478.066450496	6.1	14.7	C
14	Spectrogram 1	1	10477.628276037	10492.088033196	9.5	61.6	B
15	Spectrogram 1	1	10545.107142778	10560.443248855	10.4	89.4	A
16	Spectrogram 1	1	10578.846576148	10588.924588714	6.1	15.6	C
17	Spectrogram 1	1	10590.239112092	10604.698869251	11.3	64.2	B
18	Spectrogram 1	1	10691.457430941	10706.793537019	10.4	87.6	A
19	Spectrogram 1	1	10724.320515393	10736.151225796	5.2	17.4	C
20	Spectrogram 1	1	10735.274876877	10758.059948764	5.2	64.2	B
21	Spectrogram 1	1	10774.272403760	10787.855812000	6.9	15.6	C
22	Spectrogram 1	1	10785.226765244	10809.764534968	10.4	62.5	B
23	Spectrogram 1	1	10827.291513342	10838.684049285	6.9	14.7	C
24	Spectrogram 1	1	10839.122223745	10852.267457526	8.7	63.3	B
25	Spectrogram 1	1	10951.733078538	10969.698231371	9.5	87.6	A
26	Spectrogram 1	1	10988.977907583	10997.741396770	8.7	16.5	C
27	Spectrogram 1	1	10997.741396770	11022.717340953	8.7	69.4	B
28	Spectrogram 1	1	11038.491621490	11049.445982974	5.2	13.9	C
29	Spectrogram 1	1	11049.884157434	11073.983752698	8.7	65.1	B
30	Spectrogram 1	1	11091.510731073	11102.903267016	8.7	15.6	C
31	Spectrogram 1	1	11102.465092557	11125.250164443	9.5	62.5	B
32	Spectrogram 1	1	11142.338968358	11153.293329842	7.8	14.7	C
33	Spectrogram 1	1	11154.169678761	11176.516576188	10.4	64.2	B
34	Spectrogram 1	1	11198.863492353	11207.626981540	7.8	13.9	C
35	Spectrogram 1	1	11207.626981540	11221.210389780	10.4	61.6	B
36	Spectrogram 1	1	11291.047146225	11306.821426762	72.0	85.9	A
37	Spectrogram 1	1	11327.853800811	11327.853800811	9.5	9.5	C
38	Spectrogram 1	1	11336.617289999	11348.448000401	42.7	63.6	B
39	Spectrogram 1	1	11379.996561475	11379.996561475	11.4	11.4	C
40	Spectrogram 1	1	11391.389097418	11391.389097418	43.7	43.7	B
41	Spectrogram 1	1	11431.262973220	11431.262973220	13.3	13.3	C
42	Spectrogram 1	1	11442.217334704	11442.217334704	57.9	57.9	B
43	Spectrogram 1	1	11485.158431721	11485.158431721	10.4	10.4	C
44	Spectrogram 1	1	11496.112793205	11496.112793205	56.0	56.0	B
45	Spectrogram 1	1	11539.492102157	11539.492102157	9.5	9.5	C
46	Spectrogram 1	1	11550.446463641	11550.446463641	57.9	57.9	B
47	Spectrogram 1	1	11652.102938212	11652.102938212	82.6	82.6	A
48	Spectrogram 1	1	11688.471418339	11688.471418339	9.5	9.5	C
49	Spectrogram 1	1	11698.987605363	11698.987605363	58.8	58.8	B
50	Spectrogram 1	1	11737.108783327	11737.108783327	12.3	12.3	C
51	Spectrogram 1	1	11748.939493730	11748.939493730	56.9	56.9	B
52	Spectrogram 1	1	11792.756939666	11792.756939666	11.4	11.4	C
53	Spectrogram 1	1	11803.273126690	11803.273126690	57.9	57.9	B
54	Spectrogram 1	1	11906.682299099	11906.682299099	79.7	79.7	A
55	Spectrogram 1	1	11942.174430307	11942.174430307	7.6	7.6	C
56	Spectrogram 1	1	11955.319664087	11955.319664087	56.0	56.9	B
57	Spectrogram 1	1	11996.946256464	11996.946256464	11.0	11.0	C
58	Spectrogram 1	1	12007.900617948	12007.900617948	46.1	46.1	B
59	Spectrogram 1	1	12047.774493750	12047.774493750	13.0	13.0	C
60	Spectrogram 1	1	12059.167029693	12059.167029693	46.1	46.1	B
61	Spectrogram 1	1	12105.613522385	12105.613522385	13.0	13.0	C
62	Spectrogram 1	1	12114.815186032	12114.815186032	46.1	46.1	B
63	Spectrogram 1	1	12198.068352047	12198.068352047	82.2	82.2	A
64	Spectrogram 1	1	12231.807785418	12231.807785418	11.0	11.0	C
65	Spectrogram 1	1	12242.762146902	12242.762146902	45.1	45.1	B
66	Spectrogram 1	1	12285.265069459	12285.265069459	11.0	11.0	C
67	Spectrogram 1	1	12296.219430943	12296.219430943	45.1	45.1	B
68	Spectrogram 1	1	12339.160527961	12339.160527961	15.0	15.0	C
69	Spectrogram 1	1	12349.676714985	12349.676714985	47.1	47.1	B
70	Spectrogram 1	1	12449.142335997	12449.142335997	85.3	85.3	A
71	Spectrogram 1	1	12485.948990583	12485.948990583	14.0	14.0	C
72	Spectrogram 1	1	12497.779700986	12497.779700986	45.1	45.1	B
73	Spectrogram 1	1	12540.282623544	12540.282623544	12.0	12.0	C
74	Spectrogram 1	1	12551.675159487	12551.675159487	46.1	46.1	B
75	Spectrogram 1	1	12677.869422520	12677.869422520	84.3	84.3	A
76	Spectrogram 1	1	12714.676077106	12714.676077106	12.0	12.0	C
77	Spectrogram 1	1	12725.630438590	12725.630438590	45.1	45.1	B
78	Spectrogram 1	1	13180.017390419	13180.017390419	84.3	84.3	A
79	Spectrogram 1	1	13216.385870546	13216.385870546	12.0	12.0	C
80	Spectrogram 1	1	13228.216580949	13228.216580949	47.1	47.1	B
81	Spectrogram 1	1	13329.434881060	13329.434881060	86.3	86.3	A
82	Spectrogram 1	1	13363.612488890	13363.612488890	12.0	12.0	C
83	Spectrogram 1	1	13374.128675915	13374.128675915	49.1	49.1	B
84	Spectrogram 1	1	13462.201760984	13462.201760984	85.3	85.3	A
85	Spectrogram 1	1	13499.884764488	13499.884764488	12.0	12.0	C
86	Spectrogram 1	1	13510.400951513	13510.400951513	60.2	60.2	B
87	Spectrogram 1	1	13637.909737924	13637.909737924	84.3	84.3	A
88	Spectrogram 1	1	13677.783613725	13677.783613725	13.0	13.0	C
89	Spectrogram 1	1	13688.299800750	13688.299800750	62.2	62.2	B
90	Spectrogram 1	1	13762.789458841	13762.789458841	82.2	82.2	A
91	Spectrogram 1	1	13800.034287886	13800.034287886	12.0	12.0	C
92	Spectrogram 1	1	13810.550474911	13810.550474911	59.2	59.2	B
93	Spectrogram 1	1	13912.645142679	13912.645142679	83.2	83.2	A
94	Spectrogram 1	1	13948.137273887	13948.137273887	11.0	11.0	C
95	Spectrogram 1	1	13958.215286452	13958.215286452	61.2	61.2	B
96	Spectrogram 1	1	13998.965511172	13998.965511172	12.0	12.0	C
97	Spectrogram 1	1	14010.796221575	14010.796221575	61.2	61.2	B
98	Spectrogram 1	1	14493.664532001	14493.664532001	86.3	86.3	A
99	Spectrogram 1	1	14530.909361046	14530.909361046	13.0	13.0	C
100	Spectrogram 1	1	14541.425548071	14541.425548071	46.1	46.1	B
101	Spectrogram 1	1	14579.984900494	14579.984900494	12.0	12.0	C
