Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Unit
102	Spectrogram 1	1	14590.062913060	14590.062913060	57.2	57.2	B
103	Spectrogram 1	1	14714.942633977	14714.942633977	85.3	85.3	A
104	Spectrogram 1	1	14753.063811941	14753.063811941	13.0	13.0	C
105	Spectrogram 1	1	14760.950952209	14760.950952209	46.1	46.1	B
106	Spectrogram 1	1	14800.824828011	14800.824828011	12.0	12.0	C
107	Spectrogram 1	1	14812.217363954	14812.217363954	46.1	46.1	B
108	Spectrogram 1	1	14850.338560656	14850.338560656	13.0	13.0	C
109	Spectrogram 1	1	14861.292922140	14861.292922140	47.1	47.1	B
110	Spectrogram 1	1	14970.398381258	14970.398381258	86.3	86.3	A
111	Spectrogram 1	1	15006.766861384	15006.766861384	13.0	13.0	C
112	Spectrogram 1	1	15017.283048409	15017.283048409	45.1	45.1	B
113	Spectrogram 1	1	15059.785970967	15059.785970967	13.0	13.0	C
114	Spectrogram 1	1	15072.054855829	15072.054855829	44.1	44.1	B
115	Spectrogram 1	1	15113.681429468	15113.681429468	12.0	12.0	C
116	Spectrogram 1	1	15125.073965411	15125.073965411	47.1	47.1	B
117	Spectrogram 1	1	15167.576887969	15167.576887969	12.0	12.0	C
118	Spectrogram 1	1	15179.845772831	15179.845772831	46.1	46.1	B
119	Spectrogram 1	1	15221.910520929	15221.910520929	13.0	13.0	C
120	Spectrogram 1	1	15232.426707954	15232.426707954	44.1	44.1	B
121	Spectrogram 1	1	15277.120502808	15277.120502808	12.0	12.0	C
122	Spectrogram 1	1	15285.883991995	15285.883991995	45.1	45.1	B
123	Spectrogram 1	1	15385.349613007	15385.349613007	84.3	84.3	A
124	Spectrogram 1	1	15421.718093134	15421.718093134	11.0	11.0	C
125	Spectrogram 1	1	15432.234280159	15432.234280159	47.1	47.1	B
126	Spectrogram 1	1	15473.860853798	15473.860853798	12.0	12.0	C
127	Spectrogram 1	1	15484.377040822	15484.377040822	45.1	45.1	B
128	Spectrogram 1	1	15528.632661217	15528.632661217	13.0	13.0	C
129	Spectrogram 1	1	15539.148848242	15539.148848242	45.1	45.1	B
130	Spectrogram 1	1	15618.020269664	15618.020269664	86.3	86.3	A
131	Spectrogram 1	1	15651.321528575	15651.321528575	13.0	13.0	C
132	Spectrogram 1	1	15662.714064519	15662.714064519	47.1	47.1	B
133	Spectrogram 1	1	15705.216987076	15705.216987076	14.0	14.0	C
134	Spectrogram 1	1	15717.485871938	15717.485871938	46.1	46.1	B
135	Spectrogram 1	1	18454.536167833	18454.536167833	84.3	84.3	A
136	Spectrogram 1	1	18500.106311606	18500.106311606	45.1	45.1	B
137	Spectrogram 1	1	18590.808424693	18590.808424693	82.2	82.2	A
138	Spectrogram 1	1	18624.986032523	18624.986032523	10.0	10.0	C
139	Spectrogram 1	1	18639.445789682	18639.445789682	44.1	44.1	B
140	Spectrogram 1	1	18746.798532224	18746.798532224	82.2	82.2	A
141	Spectrogram 1	1	18795.874071672	18795.874071672	46.1	46.1	B
142	Spectrogram 1	1	18878.689063229	18878.689063229	83.2	83.2	A
143	Spectrogram 1	1	19208.634449863	19208.634449863	85.3	85.3	A
144	Spectrogram 1	1	19245.002929990	19245.002929990	9.0	9.0	C
145	Spectrogram 1	1	19258.148163771	19258.148163771	42.1	42.1	B
146	Spectrogram 1	1	19434.732449259	19434.732449259	79.2	79.2	A
147	Spectrogram 1	1	19473.291801683	19473.291801683	10.0	10.0	C
148	Spectrogram 1	1	19483.807988707	19483.807988707	43.1	43.1	B
149	Spectrogram 1	1	19569.251986649	19569.251986649	82.2	82.2	A
150	Spectrogram 1	1	19603.429594479	19603.429594479	9.0	9.0	C
151	Spectrogram 1	1	19616.136653800	19616.136653800	44.1	44.1	B
152	Spectrogram 1	1	19687.997265135	19687.997265135	83.2	83.2	A
153	Spectrogram 1	1	19737.072804583	19737.072804583	43.1	43.1	B
154	Spectrogram 1	1	26905.607500178	26905.607500178	84.3	84.3	A
155	Spectrogram 1	1	26940.661456927	26940.661456927	12.0	12.0	C
156	Spectrogram 1	1	26953.368516248	26953.368516248	45.1	45.1	B
157	Spectrogram 1	1	27291.201043151	27291.201043151	83.2	83.2	A
158	Spectrogram 1	1	27328.445872196	27328.445872196	12.0	12.0	C
159	Spectrogram 1	1	27340.276582599	27340.276582599	44.1	44.1	B
160	Spectrogram 1	1	27426.158795371	27426.158795371	86.3	86.3	A
161	Spectrogram 1	1	27464.279973335	27464.279973335	11.0	11.0	C
162	Spectrogram 1	1	27475.234334819	27475.234334819	47.1	47.1	B
163	Spectrogram 1	1	27579.081681687	27579.081681687	83.2	83.2	A
164	Spectrogram 1	1	27617.641034110	27617.641034110	13.0	13.0	C
165	Spectrogram 1	1	27628.157221135	27628.157221135	46.1	46.1	B
166	Spectrogram 1	1	27792.910836591	27792.910836591	85.3	85.3	A
167	Spectrogram 1	1	27834.099235771	27834.099235771	13.0	13.0	C
168	Spectrogram 1	1	27844.177248336	27844.177248336	60.2	60.2	B
169	Spectrogram 1	1	27888.432887469	27888.432887469	11.0	11.0	C
170	Spectrogram 1	1	27899.825423412	27899.825423412	46.1	46.1	B
171	Spectrogram 1	1	27942.766520429	27942.766520429	13.0	13.0	C
172	Spectrogram 1	1	27952.844532995	27952.844532995	45.1	45.1	B
173	Spectrogram 1	1	28037.850378110	28037.850378110	84.3	84.3	A
174	Spectrogram 1	1	28076.847904993	28076.847904993	11.0	11.0	C
175	Spectrogram 1	1	28087.802266477	28087.802266477	46.1	46.1	B
176	Spectrogram 1	1	28128.552509935	28128.552509935	13.0	13.0	C
177	Spectrogram 1	1	28138.630522500	28138.630522500	44.1	44.1	B
178	Spectrogram 1	1	28305.574991515	28305.574991515	11.0	11.0	C
179	Spectrogram 1	1	28316.967527459	28316.967527459	44.1	44.1	B
180	Spectrogram 1	1	28567.165162490	28567.165162490	80.2	80.2	A
181	Spectrogram 1	1	28603.971817076	28603.971817076	11.0	11.0	C
182	Spectrogram 1	1	28614.049829641	28614.049829641	45.1	45.1	B
183	Spectrogram 1	1	28696.864821197	28696.864821197	83.2	83.2	A
184	Spectrogram 1	1	28733.671475784	28733.671475784	13.0	13.0	C
185	Spectrogram 1	1	28745.064011727	28745.064011727	44.1	44.1	B
186	Spectrogram 1	1	35485.064048594	35485.064048594	84.3	84.3	A
187	Spectrogram 1	1	35786.966269830	35786.966269830	81.2	81.2	A
188	Spectrogram 1	1	36250.993019395	36250.993019395	45.1	45.1	B
189	Spectrogram 1	3	36208.490096837	36208.490096837	80.2	80.2	A
190	Spectrogram 1	3	36362.289332072	36362.289332072	80.2	80.2	A
191	Spectrogram 1	1	36409.612173682	36409.612173682	45.1	45.1	B
192	Spectrogram 1	3	36491.988950409	36491.988950409	82.2	82.2	A
193	Spectrogram 1	2	36530.548302832	36530.548302832	10.0	10.0	C
194	Spectrogram 1	1	36541.502664316	36541.502664316	44.1	44.1	B
195	Spectrogram 1	1	37368.337903705	37368.337903705	82.2	82.2	A
196	Spectrogram 1	1	37413.469873019	37413.469873019	46.1	46.1	B
197	Spectrogram 1	1	37540.102291773	37540.102291773	79.2	79.2	A
198	Spectrogram 1	1	37590.054180140	37590.054180140	43.1	43.1	B
199	Spectrogram 1	1	37643.073289722	37643.073289722	46.1	46.1	B
200	Spectrogram 1	1	37697.406901050	37697.406901050	45.1	45.1	B
201	Spectrogram 1	1	37810.017737105	37810.017737105	83.2	83.2	A
202	Spectrogram 1	1	37847.700718977	37847.700718977	12.0	12.0	C
203	Spectrogram 1	1	37859.969603839	37859.969603839	45.1	45.1	B
204	Spectrogram 1	1	37899.843479641	37899.843479641	10.0	10.0	C
205	Spectrogram 1	1	37913.865062340	37913.865062340	47.1	47.1	B
206	Spectrogram 1	1	37956.806159357	37956.806159357	14.0	14.0	C
207	Spectrogram 1	1	37969.075044219	37969.075044219	46.1	46.1	B
208	Spectrogram 1	1	38046.631923525	38046.631923525	83.2	83.2	A
209	Spectrogram 1	1	38097.021964719	38097.021964719	46.1	46.1	B
210	Spectrogram 1	1	38146.097504167	38146.097504167	45.1	45.1	B
211	Spectrogram 1	1	38249.506676575	38249.506676575	83.2	83.2	A
212	Spectrogram 1	1	38294.200471430	38294.200471430	44.1	44.1	B
213	Spectrogram 1	1	38347.219581012	38347.219581012	46.1	46.1	B
214	Spectrogram 1	1	38402.429581629	38402.429581629	45.1	45.1	B
215	Spectrogram 1	1	38476.919239720	38476.919239720	82.2	82.2	A
216	Spectrogram 1	1	38525.556604709	38525.556604709	46.1	46.1	B
217	Spectrogram 1	1	38575.070318616	38575.070318616	46.1	46.1	B
218	Spectrogram 1	1	38704.331802864	38704.331802864	84.3	84.3	A
219	Spectrogram 1	1	38744.205678666	38744.205678666	10.0	10.0	C
220	Spectrogram 1	1	38751.654644475	38751.654644475	45.1	45.1	B
221	Spectrogram 1	1	38806.864626354	38806.864626354	47.1	47.1	B
222	Spectrogram 1	1	38847.614851074	38847.614851074	12.0	12.0	C
223	Spectrogram 1	1	38860.760084855	38860.760084855	45.1	45.1	B
224	Spectrogram 1	1	38905.892072907	38905.892072907	12.0	12.0	C
225	Spectrogram 1	1	38915.531911013	38915.531911013	46.1	46.1	B
226	Spectrogram 1	1	38968.551020595	38968.551020595	45.1	45.1	B
227	Spectrogram 1	1	39013.244815450	39013.244815450	45.1	45.1	B
228	Spectrogram 1	1	39067.140273951	39067.140273951	46.1	46.1	B
229	Spectrogram 1	1	39117.968529974	39117.968529974	44.1	44.1	B
230	Spectrogram 1	1	39173.616686312	39173.616686312	45.1	45.1	B
231	Spectrogram 1	1	39267.386020615	39267.386020615	83.2	83.2	A
232	Spectrogram 1	1	39315.147036685	39315.147036685	44.1	44.1	B
233	Spectrogram 1	1	39816.418593663	39816.418593663	83.2	83.2	A
234	Spectrogram 1	1	39852.348899330	39852.348899330	9.0	9.0	C
235	Spectrogram 1	1	39864.179609733	39864.179609733	45.1	45.1	B
236	Spectrogram 1	1	43801.177324493	43801.177324493	82.2	82.2	A
237	Spectrogram 1	1	43850.252863942	43850.252863942	44.1	44.1	B
238	Spectrogram 1	1	44017.197332957	44017.197332957	82.2	82.2	A
239	Spectrogram 1	1	44062.767476730	44062.767476730	45.1	45.1	B
240	Spectrogram 1	1	44115.348430591	44115.348430591	45.1	45.1	B
241	Spectrogram 1	1	44190.276263141	44190.276263141	81.2	81.2	A
242	Spectrogram 1	1	44238.037279211	44238.037279211	45.1	45.1	B
243	Spectrogram 1	1	44354.153529679	44354.153529679	83.2	83.2	A
244	Spectrogram 1	1	44403.229069127	44403.229069127	45.1	45.1	B
245	Spectrogram 1	1	44478.156901677	44478.156901677	81.2	81.2	A
246	Spectrogram 1	1	44527.670615584	44527.670615584	46.1	46.1	B
247	Spectrogram 1	2	44520.221649775	44520.221649775	12.0	12.0	C
248	Spectrogram 1	1	44619.687270787	44619.687270787	82.2	82.2	A
249	Spectrogram 1	1	44670.077333613	44670.077333613	44.1	44.1	B
250	Spectrogram 1	3	44798.462468943	44798.462468943	85.3	85.3	A
251	Spectrogram 1	1	44842.718089338	44842.718089338	46.1	46.1	B
252	Spectrogram 1	1	44897.489896758	44897.489896758	45.1	45.1	B
253	Spectrogram 1	1	44951.385355259	44951.385355259	46.1	46.1	B
254	Spectrogram 1	1	45032.885823437	45032.885823437	84.3	84.3	A
255	Spectrogram 1	1	45080.646839507	45080.646839507	45.1	45.1	B
256	Spectrogram 1	1	45132.789600171	45132.789600171	47.1	47.1	B
257	Spectrogram 1	1	45186.685058672	45186.685058672	46.1	46.1	B
258	Spectrogram 1	1	45304.992181436	45304.992181436	84.3	84.3	A
259	Spectrogram 1	1	45351.876848588	45351.876848588	48.1	48.1	B
260	Spectrogram 1	1	45405.334132629	45405.334132629	45.1	45.1	B
261	Spectrogram 1	1	45460.105940049	45460.105940049	45.1	45.1	B
262	Spectrogram 1	1	45514.439573009	45514.439573009	47.1	47.1	B
263	Spectrogram 1	1	45569.649573626	45569.649573626	46.1	46.1	B
264	Spectrogram 1	1	45667.800652522	45667.800652522	83.2	83.2	A
265	Spectrogram 1	1	45715.123494133	45715.123494133	45.1	45.1	B
266	Spectrogram 1	1	45768.142603715	45768.142603715	46.1	46.1	B
267	Spectrogram 1	3	45852.272118650	45852.272118650	82.2	82.2	A
268	Spectrogram 1	1	45900.033134720	45900.033134720	45.1	45.1	B
269	Spectrogram 1	1	46005.195023703	46005.195023703	81.2	81.2	A
270	Spectrogram 1	1	46047.697946261	46047.697946261	45.1	45.1	B
271	Spectrogram 1	1	46102.469753681	46102.469753681	48.1	48.1	B
272	Spectrogram 1	1	46180.902981906	46180.902981906	85.3	85.3	A
273	Spectrogram 1	1	46227.787649057	46227.787649057	45.1	45.1	B
274	Spectrogram 1	3	46386.406822083	46386.406822083	83.2	83.2	A
275	Spectrogram 1	1	46433.729663693	46433.729663693	45.1	45.1	B
276	Spectrogram 1	3	46513.039259575	46513.039259575	78.2	78.2	A
277	Spectrogram 1	1	46559.047577807	46559.047577807	46.1	46.1	B
278	Spectrogram 1	3	46636.166282654	46636.166282654	84.3	84.3	A
279	Spectrogram 1	1	46684.803647643	46684.803647643	46.1	46.1	B
280	Spectrogram 1	1	46796.538153517	46796.538153517	85.3	85.3	A
281	Spectrogram 1	1	46846.051867424	46846.051867424	45.1	45.1	B
282	Spectrogram 1	1	46901.700023763	46901.700023763	45.1	45.1	B
283	Spectrogram 1	3	46976.627875051	46976.627875051	82.2	82.2	A
284	Spectrogram 1	1	47802.586787154	47802.586787154	85.3	85.3	A
285	Spectrogram 1	1	47846.842407549	47846.842407549	46.1	46.1	B
286	Spectrogram 1	3	47962.082309098	47962.082309098	82.2	82.2	A
287	Spectrogram 1	1	48009.843325168	48009.843325168	47.1	47.1	B
288	Spectrogram 1	1	48062.424260291	48062.424260291	45.1	45.1	B
289	Spectrogram 1	1	48116.319718792	48116.319718792	46.1	46.1	B
290	Spectrogram 1	1	48170.215177293	48170.215177293	46.1	46.1	B
291	Spectrogram 1	1	48221.481607775	48221.481607775	44.1	44.1	B
292	Spectrogram 1	1	48276.253415195	48276.253415195	44.1	44.1	B
293	Spectrogram 1	1	48370.460923957	48370.460923957	84.3	84.3	A
294	Spectrogram 1	1	48418.221958765	48418.221958765	46.1	46.1	B
295	Spectrogram 1	1	48471.679242807	48471.679242807	44.1	44.1	B
296	Spectrogram 1	1	48523.822003470	48523.822003470	45.1	45.1	B
297	Spectrogram 1	1	48579.470159809	48579.470159809	46.1	46.1	B
298	Spectrogram 1	1	48635.556490606	48635.556490606	46.1	46.1	B
299	Spectrogram 1	1	48689.451967845	48689.451967845	46.1	46.1	B
300	Spectrogram 1	1	48742.471077427	48742.471077427	44.1	44.1	B
301	Spectrogram 1	1	48842.813028620	48842.813028620	85.3	85.3	A
302	Spectrogram 1	1	48887.945016672	48887.945016672	46.1	46.1	B
303	Spectrogram 1	1	48941.840475173	48941.840475173	47.1	47.1	B
304	Spectrogram 1	1	48989.163316784	48989.163316784	44.1	44.1	B
305	Spectrogram 1	1	49043.058775285	49043.058775285	48.1	48.1	B
306	Spectrogram 1	1	49097.830582704	49097.830582704	45.1	45.1	B
307	Spectrogram 1	1	49194.667156960	49194.667156960	83.2	83.2	A
308	Spectrogram 1	1	49238.922777355	49238.922777355	44.1	44.1	B
309	Spectrogram 1	1	49291.503712478	49291.503712478	46.1	46.1	B
310	Spectrogram 1	1	49344.084647601	49344.084647601	46.1	46.1	B
311	Spectrogram 1	1	49399.294648218	49399.294648218	46.1	46.1	B
312	Spectrogram 1	1	49451.875583341	49451.875583341	45.1	45.1	B
313	Spectrogram 1	1	49506.647390761	49506.647390761	45.1	45.1	B
314	Spectrogram 1	3	49600.854918261	49600.854918261	84.3	84.3	A
315	Spectrogram 1	1	49650.368632168	49650.368632168	45.1	45.1	B
316	Spectrogram 1	1	49704.702265128	49704.702265128	48.1	48.1	B
317	Spectrogram 1	1	49760.788595926	49760.788595926	45.1	45.1	B
318	Spectrogram 1	1	49813.807705509	49813.807705509	45.1	45.1	B
319	Spectrogram 1	1	49868.579531666	49868.579531666	45.1	45.1	B
320	Spectrogram 1	3	49951.394504485	49951.394504485	85.3	85.3	A
321	Spectrogram 1	1	49997.840997177	49997.840997177	45.1	45.1	B
322	Spectrogram 1	1	50052.174648875	50052.174648875	48.1	48.1	B
323	Spectrogram 1	1	50106.070107376	50106.070107376	46.1	46.1	B
324	Spectrogram 1	1	50160.841914795	50161.280089255	47.1	47.1	B
325	Spectrogram 1	1	50215.613722215	50215.613722215	45.1	45.1	B
326	Spectrogram 1	3	50316.832041065	50316.832041065	85.3	85.3	A
327	Spectrogram 1	1	50358.896789163	50358.896789163	47.1	47.1	B
328	Spectrogram 1	1	50414.106771042	50414.106771042	46.1	46.1	B
329	Spectrogram 1	1	50468.002229543	50468.002229543	45.1	45.1	B
330	Spectrogram 1	1	50523.212211422	50523.212211422	46.1	46.1	B
331	Spectrogram 1	1	50576.231339742	50576.231339742	46.1	46.1	B
332	Spectrogram 1	3	50655.540916886	50655.540916886	86.3	86.3	A
333	Spectrogram 1	1	50703.301932956	50703.301932956	45.1	45.1	B
334	Spectrogram 1	1	50755.882868079	50755.882868079	46.1	46.1	B
335	Spectrogram 1	1	50808.901996399	50808.901996399	45.1	45.1	B
336	Spectrogram 1	1	50863.235629359	50863.235629359	46.1	46.1	B
337	Spectrogram 1	1	50917.569262320	50917.569262320	45.1	45.1	B
338	Spectrogram 1	3	51032.370989409	51032.370989409	81.2	81.2	A
339	Spectrogram 1	1	51078.817482101	51078.817482101	47.1	47.1	B
340	Spectrogram 1	1	51132.712940602	51132.712940602	46.1	46.1	B
341	Spectrogram 1	1	51187.922922481	51187.922922481	46.1	46.1	B
342	Spectrogram 1	1	51243.132904361	51243.132904361	46.1	46.1	B
343	Spectrogram 1	1	51297.028381599	51297.028381599	45.1	45.1	B
344	Spectrogram 1	1	51350.923840100	51350.923840100	46.1	46.1	B
345	Spectrogram 1	1	51405.695647520	51405.695647520	45.1	45.1	B
346	Spectrogram 1	1	51665.971295116	51665.971295116	87.3	87.3	A
347	Spectrogram 1	1	51715.046834564	51715.046834564	47.1	47.1	B
348	Spectrogram 1	1	51821.523246926	51821.523246926	84.3	84.3	A
349	Spectrogram 1	1	51868.407914077	51868.407914077	44.1	44.1	B
350	Spectrogram 1	1	51923.179721497	51923.179721497	45.1	45.1	B
351	Spectrogram 1	1	51975.760675358	51975.760675358	46.1	46.1	B
352	Spectrogram 1	1	52030.094308318	52030.094308318	45.1	45.1	B
353	Spectrogram 1	1	52083.989766819	52083.989766819	44.1	44.1	B
354	Spectrogram 1	1	52138.761574239	52138.761574239	47.1	47.1	B
355	Spectrogram 1	1	52192.657032740	52192.657032740	45.1	45.1	B
356	Spectrogram 1	1	52246.114335519	52246.114335519	46.1	46.1	B
357	Spectrogram 1	1	56093.724562945	56093.724562945	83.2	83.2	A
358	Spectrogram 1	1	56142.800102393	56142.800102393	45.1	45.1	B
359	Spectrogram 1	1	56196.695560894	56196.695560894	44.1	44.1	B
360	Spectrogram 1	1	56250.152844936	56250.152844936	45.1	45.1	B
361	Spectrogram 1	1	56304.048322175	56304.048322175	45.1	45.1	B
362	Spectrogram 1	1	56357.943780676	56357.943780676	46.1	46.1	B
363	Spectrogram 1	1	56433.309787685	56433.309787685	84.3	84.3	A
364	Spectrogram 1	1	56483.261676052	56483.261676052	46.1	46.1	B
365	Spectrogram 1	1	56534.966280994	56534.966280994	46.1	46.1	B
366	Spectrogram 1	3	56626.544743000	56626.544743000	84.3	84.3	A
367	Spectrogram 1	1	56675.620282448	56675.620282448	46.1	46.1	B
368	Spectrogram 1	1	56730.830264327	56730.830264327	45.1	45.1	B
369	Spectrogram 1	1	56782.973043728	56782.973043728	46.1	46.1	B
370	Spectrogram 1	1	56836.868502229	56836.868502229	44.1	44.1	B
371	Spectrogram 1	1	56890.763960730	56890.763960730	45.1	45.1	B
372	Spectrogram 1	1	56982.780615933	56982.780615933	83.2	83.2	A
373	Spectrogram 1	1	57030.979806463	57030.979806463	45.1	45.1	B
374	Spectrogram 1	1	57082.684392667	57082.684392667	44.1	44.1	B
375	Spectrogram 1	1	57138.332549005	57138.332549005	46.1	46.1	B
