Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Unit
1	Spectrogram 1	1	6154.538	6157.150	69.6	110.3	D
1	Spectrogram 1	1	21219.660	21224.732	52.5	94.4	D
1	Spectrogram 1	1	21251.629	21255.164	62.4	92.8	D
1	Spectrogram 1	1	22256.022	22259.710	51.9	90.0	D
1	Spectrogram 1	1	26161.803620122	26167.016853142	44.0	95.8	D
2	Spectrogram 1	1	26177.877755266	26181.787680031	61.2	96.4	D
3	Spectrogram 1	1	28073.756823462	28078.535620396	51.3	89.8	D
4	Spectrogram 1	1	29340.138006740	29344.482367590	56.5	105.2	D
5	Spectrogram 1	1	29518.691237667	29523.904470687	63.5	102.6	D
6	Spectrogram 1	1	29642.505521887	29648.153190991	50.5	95.6	D
7	Spectrogram 1	1	29669.874995240	29674.653792175	53.6	95.1	D
8	Spectrogram 1	1	29813.238902174	29816.714390854	57.0	76.3	D
9	Spectrogram 1	1	29873.625517986	29903.167171765	11.7	15.6	A
10	Spectrogram 1	1	29924.454539929	29932.274389459	8.3	12.2	C
11	Spectrogram 1	1	29930.971081204	29946.176344178	13.0	17.2	B
12	Spectrogram 1	1	30123.426265740	30129.073934845	39.6	87.8	D
13	Spectrogram 1	1	30280.692128503	30292.421902798	8.6	13.8	C
14	Spectrogram 1	1	30291.987466713	30301.110624497	13.5	16.9	B
15	Spectrogram 1	1	30742.497684617	30746.407609382	76.3	92.7	D
16	Spectrogram 1	1	30982.306402417	30987.085199351	47.1	73.4	D
17	Spectrogram 1	1	31034.438732614	31051.381739929	11.5	17.2	A
18	Spectrogram 1	1	31073.537980263	31084.833318472	7.3	13.3	C
19	Spectrogram 1	1	31084.398882387	31096.997528851	12.0	16.9	B
20	Spectrogram 1	1	31082.661138047	31088.308807152	43.0	104.2	D
21	Spectrogram 1	1	32089.249544727	32094.028341662	62.0	98.7	D
22	Spectrogram 1	1	32471.118861205	32476.766530310	60.7	109.4	D
23	Spectrogram 1	1	35583.853318262	35589.935423451	58.1	98.2	D
24	Spectrogram 1	1	41700.278815964	41705.057612899	60.7	87.0	D
25	Spectrogram 1	1	46951.307676636	46956.086473570	55.5	87.2	D
26	Spectrogram 1	1	67115.658495519	67119.568420284	54.4	91.7	D
