Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Unit
87	Spectrogram 1	1	60993.824128835	61014.575668479	11.5	45.5	A
88	Spectrogram 1	1	61030.538391283	61041.712297246	7.2	12.9	C
89	Spectrogram 1	1	61042.510433386	61060.069428470	11.0	46.9	B
90	Spectrogram 1	1	61730.503727328	61747.796677031	10.5	44.0	A
91	Spectrogram 1	1	61766.685899016	61778.125850358	8.6	12.9	C
92	Spectrogram 1	1	61779.190031878	61796.216936202	11.5	44.0	B
93	Spectrogram 1	1	62458.403828278	62480.485594823	10.5	45.5	A
94	Spectrogram 1	1	62497.512499147	62505.493860549	8.1	13.4	C
95	Spectrogram 1	1	62508.686405110	62527.043536334	11.0	46.9	B
96	Spectrogram 1	1	63278.887709711	63298.575067836	10.5	45.5	A
97	Spectrogram 1	1	63315.335926780	63325.711696602	8.6	13.4	C
98	Spectrogram 1	1	63328.372150403	63345.133009346	10.5	45.9	B
99	Spectrogram 1	1	64114.536189586	64139.544455312	10.0	45.0	A
100	Spectrogram 1	1	64154.709041975	64167.213174838	7.2	13.9	C
101	Spectrogram 1	1	64167.213174838	64185.304260682	11.0	46.9	B
