X1,X2
1.4415153973892049e-8,0.2606898851703814
0.14464964995614374,0.10902248355227862
0.1999642719840925,0.46308614794708736
0.6789629674302615,0.3907097862602912
0.03068396109590296,0.4186927881232638
2.4600727465772943e-12,0.7972603504203974
5.4008222968980614e-20,4.693782719742838e-6
2.0821676321939102e-10,0.0372704155755528
1.6881904689184233e-10,1.147426325398845e-6
0.005097791058031182,0.7311505591423408
2.908934378626477e-21,0.025707656822707505
1.0578676388454053e-14,0.6949309703322971
