Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Unit
1	Spectrogram 1	1	38520.001947085	38543.950017512	11.0	46.9	23.948	A
2	Spectrogram 1	1	38572.910474773	38591.289226496	11.0	47.8	18.379	B
3	Spectrogram 1	1	39355.596774759	39376.760185834	12.0	47.4	21.163	A
4	Spectrogram 1	1	39407.391438707	39426.884054171	11.0	47.8	19.493	B
5	Spectrogram 1	1	39768.840222599	39788.889769934	11.5	43.7	20.050	A
6	Spectrogram 1	1	39818.228755724	39838.835234929	11.0	46.9	20.606	B
7	Spectrogram 1	1	39867.238760320	39888.402171395	11.0	46.9	21.163	B
8	Spectrogram 1	1	40000.902409217	40029.862866478	12.0	46.4	28.960	A
9	Spectrogram 1	1	40057.709459998	40078.315939203	12.0	46.4	20.606	B
10	Spectrogram 1	1	40108.947192076	40129.553671281	12.0	46.4	20.606	B
11	Spectrogram 1	1	40159.071060412	40181.348335228	11.5	47.4	22.277	B
12	Spectrogram 1	1	40311.864311849	40331.913859184	12.4	45.1	20.050	A
13	Spectrogram 1	1	40360.874316445	40381.480795650	11.5	46.9	20.606	B
14	Spectrogram 1	1	40413.225912263	40436.060118950	11.5	46.4	22.834	B
15	Spectrogram 1	1	40465.020576211	40485.070123545	10.6	46.9	20.050	B
16	Spectrogram 1	1	40598.127293237	40622.075363665	12.0	53.3	23.948	A
17	Spectrogram 1	1	40651.592752796	40672.756163871	11.5	49.7	21.163	B
18	Spectrogram 1	1	40702.830484873	40725.107759689	11.0	47.8	22.277	B
19	Spectrogram 1	1	40753.511285080	40775.231628026	11.0	47.4	21.720	B
20	Spectrogram 1	1	40895.535118276	40920.597052444	11.0	46.9	25.062	A
21	Spectrogram 1	1	40947.886714094	40969.607057039	12.4	48.3	21.720	B
23	Spectrogram 1	1	45468.660299111	45493.722233279	10.6	45.5	25.062	A
24	Spectrogram 1	1	45518.227235576	45538.276782911	12.0	47.4	20.050	B
25	Spectrogram 1	1	45591.742242470	45617.361108508	11.5	29.9	25.619	A
26	Spectrogram 1	1	45645.207702029	45663.586453752	11.5	21.1	18.379	B
27	Spectrogram 1	1	45783.326803914	45808.388738082	10.6	25.3	25.062	A
28	Spectrogram 1	1	45835.121467861	45854.057151455	11.5	21.1	18.936	B
29	Spectrogram 1	1	45944.280114461	45968.785116759	12.0	19.8	24.505	A
30	Spectrogram 1	1	45996.074778408	46014.453530132	11.0	20.2	18.379	B
31	Spectrogram 1	1	46168.166726363	46191.000933050	11.0	19.8	22.834	A
32	Spectrogram 1	1	46220.518322181	46239.454005775	11.5	18.9	18.936	B
33	Spectrogram 1	1	46401.518074966	46419.339894819	11.5	18.9	17.822	B
34	Spectrogram 1	1	46573.610022921	46598.115025219	11.0	17.9	24.505	A
35	Spectrogram 1	1	46624.847754999	46643.226506722	10.6	18.4	18.379	B
36	Spectrogram 1	1	47126.086435400	47153.376097050	11.0	27.1	27.290	A
37	Spectrogram 1	1	47181.222690570	47201.829169775	11.0	24.8	20.606	B
38	Spectrogram 1	1	47233.574286388	47251.396106241	11.0	20.2	17.822	B
39	Spectrogram 1	1	47280.356563502	47302.633838318	11.0	19.8	22.277	B
40	Spectrogram 1	1	47329.366568097	47351.086911043	11.0	19.3	21.720	B
41	Spectrogram 1	1	47487.535219292	47513.711017201	11.0	24.4	26.176	A
42	Spectrogram 1	1	47541.000678851	47562.164089926	10.6	20.7	21.163	B
43	Spectrogram 1	1	47591.681479058	47612.844890133	11.0	20.2	21.163	B
44	Spectrogram 1	1	47641.996163220	47659.817983073	11.0	20.7	17.822	B
45	Spectrogram 1	1	47806.291064989	47833.580726639	11.5	24.8	27.290	A
