Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Delta Time (s)	Unit
46	Spectrogram 1	1	47861.427320159	47881.476867494	11.0	21.1	20.050	B
47	Spectrogram 1	1	47912.108120366	47933.271531441	11.0	19.3	21.163	B
48	Spectrogram 1	1	47962.231988702	47983.395399778	11.0	18.9	21.163	B
49	Spectrogram 1	1	48012.177453698	48032.227001033	11.0	18.4	20.050	B
50	Spectrogram 1	1	48167.561445541	48193.180311579	11.5	25.3	25.619	A
51	Spectrogram 1	1	48221.583836970	48241.633384305	10.6	19.3	20.050	B
52	Spectrogram 1	1	48270.593841566	48292.871116382	11.0	18.4	22.277	B
53	Spectrogram 1	1	48320.160778032	48342.438052848	11.0	19.3	22.277	B
54	Spectrogram 1	1	48370.841578238	48385.878738739	11.0	20.2	15.037	B
55	Spectrogram 1	1	48436.559538946	48464.963064337	10.6	26.2	28.404	A
56	Spectrogram 1	1	48492.809657857	48512.302273321	11.0	21.1	19.493	B
57	Spectrogram 1	1	48870.409464016	48898.256057536	11.0	46.9	27.847	A
58	Spectrogram 1	1	48923.874923575	48947.822994002	11.0	46.0	23.948	B
59	Spectrogram 1	1	48975.669587523	48999.060726079	10.6	46.4	23.391	B
60	Spectrogram 1	1	49026.907319600	49051.412321898	11.0	47.8	24.505	B
61	Spectrogram 1	1	49079.258915418	49100.979258363	10.6	48.3	21.720	B
62	Spectrogram 1	1	49263.603362546	49292.006887937	10.6	44.6	28.404	A
63	Spectrogram 1	1	49318.182685846	49340.459960662	11.0	46.0	22.277	B
64	Spectrogram 1	1	49369.977349794	49392.811556480	10.6	46.4	22.834	B
65	Spectrogram 1	1	49420.658150000	49440.707697335	10.6	45.5	20.050	B
66	Spectrogram 1	1	49567.131231917	49596.091689178	11.5	45.5	28.960	A
67	Spectrogram 1	1	49623.938282698	49645.658625644	10.6	46.0	21.720	B
68	Spectrogram 1	1	49674.619082905	49698.010221462	10.6	46.0	23.391	B
69	Spectrogram 1	1	49724.742950254	49746.463293199	11.0	46.9	21.720	B
70	Spectrogram 1	1	49876.785350874	49904.631944394	10.6	46.0	27.847	A
71	Spectrogram 1	1	49931.364674174	49952.528085249	11.0	46.4	21.163	B
72	Spectrogram 1	1	49982.602406251	50005.993544808	11.0	46.9	23.391	B
73	Spectrogram 1	1	50033.283205470	50054.446616546	11.0	46.9	21.163	B
74	Spectrogram 1	1	50083.964005677	50105.684348623	11.5	46.4	21.720	B
75	Spectrogram 1	1	50232.664815075	50261.625272336	11.0	35.9	28.960	A
76	Spectrogram 1	1	50288.358002115	50310.078345061	11.5	46.4	21.720	B
77	Spectrogram 1	1	50340.152665075	50362.986871762	11.0	46.0	22.834	B
78	Spectrogram 1	1	50391.390397153	50410.326080746	11.0	46.9	18.936	B
79	Spectrogram 1	1	50439.843469878	50461.006880953	11.0	46.4	21.163	B
80	Spectrogram 1	1	50594.670529850	50623.630987111	11.0	45.1	28.960	A
81	Spectrogram 1	1	50649.806784033	50672.084058849	11.0	46.4	22.277	B
82	Spectrogram 1	1	50702.158379851	50724.992586537	10.6	46.4	22.834	B
83	Spectrogram 1	1	50752.839180058	50774.002591133	11.0	46.4	21.163	B
84	Spectrogram 1	1	50804.076912135	50826.354186951	11.0	46.4	22.277	B
85	Spectrogram 1	1	51031.305114272	51059.151707792	11.5	44.6	27.847	A
86	Spectrogram 1	1	51086.998301313	51108.161712388	11.0	46.9	21.163	B
87	Spectrogram 1	1	51139.349897131	51162.184103817	11.0	46.9	22.834	B
88	Spectrogram 1	1	51191.144561078	51211.751040283	11.0	46.0	20.606	B
89	Spectrogram 1	1	60190.049692458	60217.896285978	11.0	47.4	27.847	A
90	Spectrogram 1	1	60245.742879498	60264.678563092	11.0	46.9	18.936	B
91	Spectrogram 1	1	60300.879134668	60316.473227040	11.5	46.0	15.594	B
92	Spectrogram 1	1	60349.332207394	60367.710959117	11.5	46.4	18.379	B
93	Spectrogram 1	1	60398.899143860	60416.720963713	11.5	46.0	17.822	B
94	Spectrogram 1	1	60547.043021387	60575.446546778	11.5	45.1	28.404	A
95	Spectrogram 1	1	60602.736208428	60623.899619503	11.5	46.0	21.163	B
96	Spectrogram 1	1	60655.644735128	60678.478941815	11.0	46.4	22.834	B
97	Spectrogram 1	1	60707.996330947	60726.932014540	11.0	47.4	18.936	B
98	Spectrogram 1	1	60758.120199283	60781.511337840	11.5	46.4	23.391	B
99	Spectrogram 1	1	60924.642827546	60950.261693585	11.0	46.4	25.619	A
100	Spectrogram 1	1	60980.336014587	60998.714766310	11.0	46.0	18.379	B
101	Spectrogram 1	1	61029.346019182	61051.623293998	11.0	46.0	22.277	B
102	Spectrogram 1	1	61100.633298594	61125.695232762	11.5	46.0	25.062	A
103	Spectrogram 1	1	61152.984894412	61171.920578006	11.0	46.4	18.936	B
104	Spectrogram 1	1	61306.698088669	61328.975363485	11.0	45.5	22.277	A
105	Spectrogram 1	1	61355.708093264	61377.428436210	11.0	46.0	21.720	B
106	Spectrogram 1	1	61408.616620953	61431.450827639	11.0	46.9	22.834	B
107	Spectrogram 1	1	61460.968216771	61483.802423457	10.6	46.0	22.834	B
108	Spectrogram 1	1	61513.319812589	61533.926291794	11.0	46.4	20.606	B
109	Spectrogram 1	1	61711.030626582	61734.421765139	11.0	46.0	23.391	A
110	Spectrogram 1	1	61760.597563048	61782.317905994	11.0	46.4	21.720	B
111	Spectrogram 1	1	61812.949158866	61836.340297423	11.0	46.9	23.391	B
112	Spectrogram 1	1	61865.300753697	61888.134960383	11.0	46.9	22.834	B
113	Spectrogram 1	1	61917.095417644	61938.258828720	10.6	47.4	21.163	B
114	Spectrogram 1	1	62080.833387543	62103.667594230	11.5	45.5	22.834	A
115	Spectrogram 1	1	62131.514187750	62154.348394436	11.5	46.4	22.834	B
116	Spectrogram 1	1	62183.308850710	62206.143057397	11.0	46.0	22.834	B
117	Spectrogram 1	1	62235.660446528	62257.937721344	11.5	46.4	22.277	B
118	Spectrogram 1	1	62287.455110476	62310.289317162	11.5	46.4	22.834	B
119	Spectrogram 1	1	62338.692842553	62358.185458017	11.5	46.4	19.493	B
120	Spectrogram 1	1	62513.012517002	62535.289791818	10.6	46.0	22.277	A
121	Spectrogram 1	1	62562.022521597	62583.742864543	11.0	46.4	21.720	B
122	Spectrogram 1	1	62616.044913027	62637.765255972	11.5	46.0	21.720	B
123	Spectrogram 1	1	62666.725713233	62688.446056179	12.0	46.4	21.720	B
124	Spectrogram 1	1	62718.520377181	62739.683788256	11.0	47.4	21.163	B
125	Spectrogram 1	1	62890.612323161	62913.446529847	11.0	45.1	22.834	A
126	Spectrogram 1	1	62941.850055238	62962.456534443	11.5	46.4	20.606	B
127	Spectrogram 1	1	62993.087787315	63014.808130261	11.0	46.0	21.720	B
128	Spectrogram 1	1	63045.439383133	63068.273589820	11.5	46.4	22.834	B
129	Spectrogram 1	1	63096.120183340	63117.283594415	11.0	46.9	21.163	B
130	Spectrogram 1	1	63245.377924608	63267.655199425	10.6	45.5	22.277	A
131	Spectrogram 1	1	63295.501792945	63314.994408409	11.0	46.9	19.493	B
132	Spectrogram 1	1	63345.068729411	63368.459867968	10.6	46.4	23.391	B
133	Spectrogram 1	1	63396.306460500	63417.469871576	10.6	46.0	21.163	B
134	Spectrogram 1	1	63448.101124448	63466.479876171	10.6	46.0	18.379	B
135	Spectrogram 1	1	63638.571824126	63659.735235202	11.5	45.1	21.163	A
136	Spectrogram 1	1	63687.024895864	63707.631375069	11.0	46.4	20.606	B
137	Spectrogram 1	1	63739.933423552	63762.210698369	10.6	46.4	22.277	B
138	Spectrogram 1	1	63790.614223759	63812.334566705	11.0	46.9	21.720	B
139	Spectrogram 1	1	63844.636615188	63863.015366912	11.0	46.9	18.379	B
140	Spectrogram 1	1	64040.676632583	64062.953907399	11.0	45.5	22.277	A
141	Spectrogram 1	1	64091.357432790	64113.077775736	11.0	46.9	21.720	B
142	Spectrogram 1	1	64142.038232997	64160.973916591	11.5	46.9	18.936	B
143	Spectrogram 1	1	64191.605169463	64214.996308020	11.0	47.4	23.391	B
144	Spectrogram 1	1	64242.842901540	64265.120176356	11.0	47.4	22.277	B
145	Spectrogram 1	1	64411.593257285	64432.199736490	11.0	46.0	20.606	A
146	Spectrogram 1	1	64460.603261881	64480.095877345	11.0	46.4	19.493	B
147	Spectrogram 1	1	64542.472246830	64563.635657905	11.0	45.1	21.163	A
148	Spectrogram 1	1	64591.482250438	64613.202593384	11.0	46.0	21.720	B
149	Spectrogram 1	1	64641.606118774	64660.541802368	11.0	46.9	18.936	B
150	Spectrogram 1	1	64845.443183342	64866.606594418	11.0	45.1	21.163	A
151	Spectrogram 1	1	64895.010118821	64917.844325507	11.0	46.4	22.834	B
152	Spectrogram 1	1	64946.804782768	64966.297398233	11.0	46.9	19.493	B
153	Spectrogram 1	1	64996.928651105	65020.876721532	11.0	46.9	23.948	B
154	Spectrogram 1	1	65049.280246923	65071.000589869	11.0	46.0	21.720	B
155	Spectrogram 1	1	65244.206400577	65263.142084171	10.6	46.4	18.936	A
156	Spectrogram 1	1	65292.659473302	65315.493679989	11.0	46.9	22.834	B
157	Spectrogram 1	1	65345.011069120	65363.389820843	11.0	46.9	18.379	B
158	Spectrogram 1	1	65395.691869327	65414.627552921	11.0	46.4	18.936	B
159	Spectrogram 1	1	65444.701873922	65468.649944350	10.6	46.9	23.948	B
160	Spectrogram 1	1	65499.281196235	65518.773811699	10.6	46.9	19.493	B
161	Spectrogram 1	1	65672.487007930	65693.093487135	10.6	46.0	20.606	A
162	Spectrogram 1	1	65721.497012526	65743.774287342	10.6	46.4	22.277	B
163	Spectrogram 1	1	65773.291675486	65796.125882172	11.0	47.4	22.834	B
164	Spectrogram 1	1	65826.200203174	65845.135886768	10.6	46.9	18.936	B
165	Spectrogram 1	1	65876.881003381	65896.373618845	10.6	46.4	19.493	B
166	Spectrogram 1	1	67377.255420914	67402.874286952	11.0	45.1	25.619	A
167	Spectrogram 1	1	67429.607016732	67449.656564066	11.0	46.4	20.050	B
168	Spectrogram 1	1	67524.285434700	67548.233505128	11.0	46.4	23.948	A
169	Spectrogram 1	1	67576.080098648	67595.015782242	11.5	46.9	18.936	B
170	Spectrogram 1	1	67742.045757654	67764.879964341	10.6	45.1	22.834	A
171	Spectrogram 1	1	67793.283489731	67812.219173325	11.0	46.4	18.936	B
172	Spectrogram 1	1	67841.736562457	67861.229177921	11.0	46.9	19.493	B
173	Spectrogram 1	1	67890.746567052	67914.694637480	10.6	46.9	23.948	B
174	Spectrogram 1	1	67943.098162870	67964.261573946	11.0	47.4	21.163	B
175	Spectrogram 1	1	68203.742277232	68226.019552048	11.0	45.1	22.277	A
176	Spectrogram 1	1	68253.309213698	68274.472624773	11.0	46.9	21.163	B
177	Spectrogram 1	1	68304.546945775	68322.925697498	11.0	47.4	18.379	B
178	Spectrogram 1	1	68596.379244879	68619.770383436	11.0	46.0	23.391	A
179	Spectrogram 1	1	68645.389249475	68664.881864939	10.6	47.4	19.493	B
180	Spectrogram 1	1	68764.015736884	68788.520739181	10.6	45.5	24.505	A
181	Spectrogram 1	1	68815.253468961	68835.303016295	11.0	45.1	20.050	B
182	Spectrogram 1	1	69296.442604003	69318.719878819	11.0	46.9	22.277	A
183	Spectrogram 1	1	69346.009540469	69366.059087803	10.6	46.9	20.050	B
184	Spectrogram 1	1	72823.492054625	72844.655465700	10.6	46.0	21.163	A
185	Spectrogram 1	1	72874.172854832	72895.893197777	10.6	45.5	21.720	B
186	Spectrogram 1	1	72924.853655038	72943.232406762	11.0	46.4	18.379	B
187	Spectrogram 1	1	72973.863659634	72989.457752005	11.5	46.0	15.594	B
188	Spectrogram 1	1	73023.987527970	73042.366279694	11.5	47.4	18.379	B
189	Spectrogram 1	1	73075.225259060	73093.604010783	11.0	46.0	18.379	B
190	Spectrogram 1	1	73252.329593849	73274.606868665	11.5	46.9	22.277	A
191	Spectrogram 1	1	73301.896530315	73324.730737001	11.5	46.4	22.834	B
192	Spectrogram 1	1	73359.260511979	73377.639263702	11.5	46.0	18.379	B
193	Spectrogram 1	1	73409.384380315	73432.775518872	11.5	46.0	23.391	B
194	Spectrogram 1	1	73578.691668918	73598.184284382	11.0	42.8	19.493	A
195	Spectrogram 1	1	73628.815537254	73651.649743941	11.0	46.0	22.834	B
196	Spectrogram 1	1	73681.167132085	73700.659747549	12.0	46.0	19.493	B
197	Spectrogram 1	1	74352.269996560	74374.547271376	11.5	85.5	22.277	A
198	Spectrogram 1	1	74403.507728637	74421.886480361	10.6	45.5	18.379	B
199	Spectrogram 1	1	74543.854559979	74566.131834796	11.5	87.4	22.277	A
200	Spectrogram 1	1	74594.535360186	74614.027975650	11.0	46.9	19.493	B
201	Spectrogram 1	1	74676.961277006	74705.364802397	12.0	85.1	28.404	A
202	Spectrogram 1	1	74738.780714621	74762.728785048	11.5	86.4	23.948	A
203	Spectrogram 1	1	74791.132310439	74811.181857773	11.0	46.9	20.050	B
