Begin Time (s)
38520.74639
39352.7434
39765.56447
40001.85065
40305.08458
40597.69818
40890.69305
45469.13181
45592.78825
45782.60483
45941.70419
46169.32655
46346.5412
46571.3655
47127.88596
47486.25334
47804.8045
48164.85499
48868.98785
49262.79815
49567.60736
49876.35463
50233.9344
50594.66466
51030.21887
60191.03448
60547.03901
60925.09692
61300.00435
61704.84135
62075.02306
62505.85154
62886.2723
63240.70158
63633.72428
64033.83557
64407.16775
64840.3591
65241.25801
65667.36077
67374.9222
67519.05677
67738.01532
68197.19815
68590.22083
68761.13448
69291.99078
72819.74359
73247.42158
73575.85935
74352.4533
74545.42035
74675.37777
