Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Unit
1	Spectrogram 1	1	17686.467824127	17705.100540527	11.9	45.5	B
3	Spectrogram 1	1	19116.072199313	19136.166305235	9.2	21.5	A
4	Spectrogram 1	1	19165.028748286	19183.661464686	11.8	45.6	B
5	Spectrogram 1	1	21651.948569735	21673.869412559	11.3	19.5	A
6	Spectrogram 1	1	25055.159683706	25074.157747487	9.7	45.6	B
7	Spectrogram 1	1	32011.739700615	32031.833806537	10.3	17.9	A
8	Spectrogram 1	1	35589.221396015	35618.449186447	11.8	17.4	A
9	Spectrogram 1	1	35646.946282118	35666.675040659	10.3	17.4	B
10	Spectrogram 1	1	35896.113193133	35929.359804749	10.8	17.9	A
11	Spectrogram 1	1	35958.222247800	35978.681701102	10.3	17.4	B
12	Spectrogram 1	1	36258.903157488	36285.938863637	10.8	17.4	A
13	Spectrogram 1	1	36314.801306688	36333.799370469	11.3	19.0	B
14	Spectrogram 1	1	36556.661270095	36588.081144809	11.3	17.9	A
15	Spectrogram 1	1	36614.751503578	36635.576304261	11.8	17.9	B
16	Spectrogram 1	1	37521.909127214	37547.118096462	9.7	18.5	A
17	Spectrogram 1	1	37575.980539513	37594.613255913	13.3	17.9	B
18	Spectrogram 1	1	37794.092956855	37816.744494439	12.3	16.9	A
19	Spectrogram 1	1	37846.337632251	37863.508959130	11.3	16.4	B
20	Spectrogram 1	1	42370.799934770	42391.259388072	11.3	17.9	B
21	Spectrogram 1	1	44865.757398588	44883.659420227	12.8	15.9	A
22	Spectrogram 1	1	50867.684632409	50887.413390950	9.2	17.4	A
23	Spectrogram 1	1	50918.102570903	50937.100634684	11.3	19.5	B
24	Spectrogram 1	1	51872.390006610	51889.561333489	10.8	17.4	B
25	Spectrogram 1	1	53310.032057826	53334.875679693	10.8	16.4	A
26	Spectrogram 1	1	53361.180691081	53380.544102242	12.3	16.9	B
27	Spectrogram 1	1	53900.798818794	53920.527577335	10.3	19.0	B
28	Spectrogram 1	1	53844.535322213	53874.859154786	12.8	20.0	A
29	Spectrogram 1	1	54460.145705048	54483.527937393	13.3	15.4	A
30	Spectrogram 1	1	54510.563643543	54528.831012562	12.3	17.4	B
31	Spectrogram 1	1	55063.699624330	55087.447204056	13.3	16.4	A
32	Spectrogram 1	1	55117.405689248	55136.769100409	12.3	17.4	B
33	Spectrogram 1	1	55969.395858445	55996.066217213	12.3	18.5	A
34	Spectrogram 1	1	56026.755397167	56042.465334523	12.8	17.4	B
35	Spectrogram 1	1	56595.601315311	56618.618200276	12.3	19.0	A
36	Spectrogram 1	1	56646.749948566	56665.017317586	12.3	16.9	B
37	Spectrogram 1	1	57956.520416644	57976.614522565	13.3	17.9	A
38	Spectrogram 1	1	58005.476965617	58024.475029397	13.8	17.4	B
39	Spectrogram 1	1	59571.721310355	59595.103542700	12.3	16.9	A
40	Spectrogram 1	1	59622.869943610	59643.329396912	12.8	16.4	B
41	Spectrogram 1	1	61285.200665015	61307.486855219	12.3	16.4	A
42	Spectrogram 1	1	61338.906729933	61354.616667290	12.3	14.9	B
43	Spectrogram 1	1	62856.559873078	62871.904463055	13.8	16.4	B
44	Spectrogram 1	1	63280.362849959	63296.803482077	12.8	17.4	B
45	Spectrogram 1	1	63847.747378582	63876.609821633	12.8	19.5	A
46	Spectrogram 1	1	63903.645527782	63921.912896802	12.3	16.4	B
47	Spectrogram 1	1	64681.835510516	64700.102879536	12.3	15.4	B
48	Spectrogram 1	1	65483.773072975	65502.771136756	13.8	16.9	B
49	Spectrogram 1	1	66438.791169782	66464.000139030	12.3	15.4	A
50	Spectrogram 1	1	66494.323971602	66511.495298481	12.8	16.9	B
51	Spectrogram 1	1	67070.111456313	67089.474867474	13.3	16.9	A
52	Spectrogram 1	1	67120.529394808	67139.892805969	13.8	14.4	B
53	Spectrogram 1	1	67570.637347003	67590.000758163	13.8	14.9	B
54	Spectrogram 1	1	68363.075810250	68382.439221411	11.3	17.9	B
55	Spectrogram 1	1	69189.126266155	69215.065930163	11.3	16.4	B
